,Community Name,Community Code,Venue Name,Venue ID,Lat,Long,Categories
1,MANCHESTER INDUSTRIAL,MNI,Phil & Sebastian Coffee Roaster,4ca4d97f7f84224b96e5d058,51.00042560750507,-114.0732895713657,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Cafés', 'name': 'Café', 'id': '4bf58dd8d48988d16d941735', 'shortName': 'Café'}]"
2,MANCHESTER INDUSTRIAL,MNI,Yann Haute Patisserie,4b4a2bbbf964a5203c7d26e3,51.03224624768667,-114.07067060845887,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Bakeries', 'name': 'Bakery', 'id': '4bf58dd8d48988d16a941735', 'shortName': 'Bakery'}]"
3,MANCHESTER INDUSTRIAL,MNI,Sidewalk Citizen Bakery,4daf1e3f6a23e6c93498b0f8,51.005044378182895,-114.06708344500097,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bagels_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Bagel Shops', 'name': 'Bagel Shop', 'id': '4bf58dd8d48988d179941735', 'shortName': 'Bagels'}]"
5,MANCHESTER INDUSTRIAL,MNI,The Glencoe Club,4b69cf87f964a520a8b52be3,51.028676173377974,-114.08062574473178,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Athletics & Sports', 'name': 'Athletics & Sports', 'id': '4f4528bc4b90abdf24c9de85', 'shortName': 'Athletics & Sports'}]"
6,MANCHESTER INDUSTRIAL,MNI,Bolero,4bd7626935aad13a8fc58ef3,50.992366574675366,-114.07089722628092,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Brazilian Restaurants', 'name': 'Brazilian Restaurant', 'id': '4bf58dd8d48988d16b941735', 'shortName': 'Brazilian'}]"
7,MANCHESTER INDUSTRIAL,MNI,Smuggler's Inn,4b0586e7f964a5202f7422e3,50.99202861339054,-114.07074226894635,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Steakhouses', 'name': 'Steakhouse', 'id': '4bf58dd8d48988d1cc941735', 'shortName': 'Steakhouse'}]"
8,MANCHESTER INDUSTRIAL,MNI,The Keg Steakhouse + Bar,4b0586e7f964a520e07322e3,50.99054230954866,-114.07095336900285,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Steakhouses', 'name': 'Steakhouse', 'id': '4bf58dd8d48988d1cc941735', 'shortName': 'Steakhouse'}]"
10,MANCHESTER INDUSTRIAL,MNI,Purple Perk,4b0336a9f964a520954d22e3,51.03279921934084,-114.07151860192121,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Coffee Shops', 'name': 'Coffee Shop', 'id': '4bf58dd8d48988d1e0931735', 'shortName': 'Coffee Shop'}]"
11,MANCHESTER INDUSTRIAL,MNI,Tango Bistro,4ba56b9cf964a5205e0539e3,50.99217345314099,-114.07091905803837,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/tapas_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Tapas Restaurants', 'name': 'Tapas Restaurant', 'id': '4bf58dd8d48988d1db931735', 'shortName': 'Tapas'}]"
13,MANCHESTER INDUSTRIAL,MNI,La Boulangerie,4f4d2b7ee4b081be1cf50c58,51.03088107768488,-114.07166927121072,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Bakeries', 'name': 'Bakery', 'id': '4bf58dd8d48988d16a941735', 'shortName': 'Bakery'}]"
